Level,Skill,Subskill,Value,LevelKey,Discipline,Role
7,Personal Effectiveness & Leadership,"Personal drive, initiative & results orientation",1,L7,Project Management,Engineer
7,Personal Effectiveness & Leadership,"Self-awareness, integrity & professional maturity",1,L7,Project Management,Engineer
7,Personal Effectiveness & Leadership,"Analytical, critical & systems thinking",1,L7,Project Management,Engineer
7,Personal Effectiveness & Leadership,"Strategic thinking, vision & foresight",1,L7,Project Management,Engineer
7,Personal Effectiveness & Leadership,"Planning, anticipation & foresight",1,L7,Project Management,Engineer
7,Personal Effectiveness & Leadership,"Leadership presence, courage & decisiveness",1,L7,Project Management,Engineer
7,Personal Effectiveness & Leadership,Influence & impact without authority,1,L7,Project Management,Engineer
7,Personal Effectiveness & Leadership,Innovation & continuous improvement mindset,1,L7,Project Management,Engineer
7,Communication & Collaboration,Effective oral & written communication,1,L7,Project Management,Engineer
7,Communication & Collaboration,Information & document management,1,L7,Project Management,Engineer
7,Communication & Collaboration,Team collaboration & trust building,1,L7,Project Management,Engineer
7,Communication & Collaboration,Stakeholder engagement & alignment,1,L7,Project Management,Engineer
7,Communication & Collaboration,Client relationship management,1,L7,Project Management,Engineer
7,Communication & Collaboration,Organizational navigation & awareness,1,L7,Project Management,Engineer
7,Communication & Collaboration,Cultural & diversity awareness,1,L7,Project Management,Engineer
7,Communication & Collaboration,Conflict resolution & issue escalation,1,L7,Project Management,Engineer
7,Engineering Management,Engineering discipline deliverables,1,L7,Project Management,Engineer
7,Engineering Management,Inter-discipline dependencies & workflows,1,L7,Project Management,Engineer
7,Engineering Management,"Engineering scope definition, WBS/DOR ownership",1,L7,Project Management,Engineer
7,Engineering Management,Multi-discipline technical leadership,1,L7,Project Management,Engineer
7,Engineering Management,Cross-discipline technical issue resolution,1,L7,Project Management,Engineer
7,Engineering Management,Design basis ownership & QA/QC governance,1,L7,Project Management,Engineer
7,Engineering Management,Engineering tools & S3D suite understanding,1,L7,Project Management,Engineer
7,Engineering Management,Engineering–Procurement–Construction–Commissioning interface,1,L7,Project Management,Engineer
7,Engineering Management,"Constructability, modularization & AWP",1,L7,Project Management,Engineer
7,Project Planning & Control,Project Execution Planning (PEP),1,L7,Project Management,Engineer
7,Project Planning & Control,Schedule development & Primavera interpretation,1,L7,Project Management,Engineer
7,Project Planning & Control,Progress measurement & EPMS/DDS,1,L7,Project Management,Engineer
7,Project Planning & Control,Project status & progress reporting,1,L7,Project Management,Engineer
7,Project Planning & Control,Earned Value & productivity management,1,L7,Project Management,Engineer
7,Project Planning & Control,Integrated change management & baseline control,1,L7,Project Management,Engineer
7,Project Planning & Control,Project close-out & handover,1,L7,Project Management,Engineer
7,Commercial & Cost,Project financial terms & concepts,1,L7,Project Management,Engineer
7,Commercial & Cost,Engineering estimation & budgeting,1,L7,Project Management,Engineer
7,Commercial & Cost,"Forecasting, cost control & variance analysis",1,L7,Project Management,Engineer
7,Commercial & Cost,Resource planning & capacity management,1,L7,Project Management,Engineer
7,Commercial & Cost,Contracting strategies,1,L7,Project Management,Engineer
7,Commercial & Cost,Procurement processes & vendor management,1,L7,Project Management,Engineer
7,Commercial & Cost,Contract language & commercial risk,1,L7,Project Management,Engineer
7,Commercial & Cost,INCOTERMS & logistics,1,L7,Project Management,Engineer
7,Risk & Construction,Project risk management,1,L7,Project Management,Engineer
7,Risk & Construction,Site / construction exposure,1,L7,Project Management,Engineer
7,Risk & Construction,Commissioning & system handover,1,L7,Project Management,Engineer
7,Business & Knowledge,Proposal development exposure,1,L7,Project Management,Engineer
7,Business & Knowledge,Business development & client advisory,1,L7,Project Management,Engineer
7,Business & Knowledge,Knowledge capture & lessons learned,1,L7,Project Management,Engineer
7,Value engineering & cost optimization,,1,L7,Project Management,Engineer
7,Business & KnowledgeDocument & information management systems,,1,L7,Project Management,Engineer
7,"Business & KnowledgeEthics, compliance & professional conduct",,1,L7,Project Management,Engineer
8,Personal Effectiveness & Leadership,"Personal drive, initiative & results orientation",1,L8,Project Management,Engineer
8,Personal Effectiveness & Leadership,"Self-awareness, integrity & professional maturity",1,L8,Project Management,Engineer
8,Personal Effectiveness & Leadership,"Analytical, critical & systems thinking",1,L8,Project Management,Engineer
8,Personal Effectiveness & Leadership,"Strategic thinking, vision & foresight",1,L8,Project Management,Engineer
8,Personal Effectiveness & Leadership,"Planning, anticipation & foresight",1,L8,Project Management,Engineer
8,Personal Effectiveness & Leadership,"Leadership presence, courage & decisiveness",1,L8,Project Management,Engineer
8,Personal Effectiveness & Leadership,Influence & impact without authority,1,L8,Project Management,Engineer
8,Personal Effectiveness & Leadership,Innovation & continuous improvement mindset,1,L8,Project Management,Engineer
8,Communication & Collaboration,Effective oral & written communication,1,L8,Project Management,Engineer
8,Communication & Collaboration,Information & document management,1,L8,Project Management,Engineer
8,Communication & Collaboration,Team collaboration & trust building,1,L8,Project Management,Engineer
8,Communication & Collaboration,Stakeholder engagement & alignment,1,L8,Project Management,Engineer
8,Communication & Collaboration,Client relationship management,1,L8,Project Management,Engineer
8,Communication & Collaboration,Organizational navigation & awareness,1,L8,Project Management,Engineer
8,Communication & Collaboration,Cultural & diversity awareness,1,L8,Project Management,Engineer
8,Communication & Collaboration,Conflict resolution & issue escalation,1,L8,Project Management,Engineer
8,Engineering Management,Engineering discipline deliverables,1,L8,Project Management,Engineer
8,Engineering Management,Inter-discipline dependencies & workflows,1,L8,Project Management,Engineer
8,Engineering Management,"Engineering scope definition, WBS/DOR ownership",1,L8,Project Management,Engineer
8,Engineering Management,Multi-discipline technical leadership,1,L8,Project Management,Engineer
8,Engineering Management,Cross-discipline technical issue resolution,1,L8,Project Management,Engineer
8,Engineering Management,Design basis ownership & QA/QC governance,1,L8,Project Management,Engineer
8,Engineering Management,Engineering tools & S3D suite understanding,1,L8,Project Management,Engineer
8,Engineering Management,Engineering–Procurement–Construction–Commissioning interface,1,L8,Project Management,Engineer
8,Engineering Management,"Constructability, modularization & AWP",1,L8,Project Management,Engineer
8,Project Planning & Control,Project Execution Planning (PEP),1,L8,Project Management,Engineer
8,Project Planning & Control,Schedule development & Primavera interpretation,1,L8,Project Management,Engineer
8,Project Planning & Control,Progress measurement & EPMS/DDS,1,L8,Project Management,Engineer
8,Project Planning & Control,Project status & progress reporting,1,L8,Project Management,Engineer
8,Project Planning & Control,Earned Value & productivity management,1,L8,Project Management,Engineer
8,Project Planning & Control,Integrated change management & baseline control,1,L8,Project Management,Engineer
8,Project Planning & Control,Project close-out & handover,1,L8,Project Management,Engineer
8,Commercial & Cost,Project financial terms & concepts,1,L8,Project Management,Engineer
8,Commercial & Cost,Engineering estimation & budgeting,1,L8,Project Management,Engineer
8,Commercial & Cost,"Forecasting, cost control & variance analysis",1,L8,Project Management,Engineer
8,Commercial & Cost,Resource planning & capacity management,1,L8,Project Management,Engineer
8,Commercial & Cost,Contracting strategies,1,L8,Project Management,Engineer
8,Commercial & Cost,Procurement processes & vendor management,1,L8,Project Management,Engineer
8,Commercial & Cost,Contract language & commercial risk,1,L8,Project Management,Engineer
8,Commercial & Cost,INCOTERMS & logistics,1,L8,Project Management,Engineer
8,Risk & Construction,Project risk management,1,L8,Project Management,Engineer
8,Risk & Construction,Site / construction exposure,1,L8,Project Management,Engineer
8,Risk & Construction,Commissioning & system handover,1,L8,Project Management,Engineer
8,Business & Knowledge,Proposal development exposure,1,L8,Project Management,Engineer
8,Business & Knowledge,Business development & client advisory,1,L8,Project Management,Engineer
8,Business & Knowledge,Knowledge capture & lessons learned,1,L8,Project Management,Engineer
8,Value engineering & cost optimization,,1,L8,Project Management,Engineer
8,Business & KnowledgeDocument & information management systems,,1,L8,Project Management,Engineer
8,"Business & KnowledgeEthics, compliance & professional conduct",,1,L8,Project Management,Engineer
9,Personal Effectiveness & Leadership,"Personal drive, initiative & results orientation",2,L9,Project Management,Engineer
9,Personal Effectiveness & Leadership,"Self-awareness, integrity & professional maturity",2,L9,Project Management,Engineer
9,Personal Effectiveness & Leadership,"Analytical, critical & systems thinking",2,L9,Project Management,Engineer
9,Personal Effectiveness & Leadership,"Strategic thinking, vision & foresight",2,L9,Project Management,Engineer
9,Personal Effectiveness & Leadership,"Planning, anticipation & foresight",2,L9,Project Management,Engineer
9,Personal Effectiveness & Leadership,"Leadership presence, courage & decisiveness",2,L9,Project Management,Engineer
9,Personal Effectiveness & Leadership,Influence & impact without authority,2,L9,Project Management,Engineer
9,Personal Effectiveness & Leadership,Innovation & continuous improvement mindset,2,L9,Project Management,Engineer
9,Communication & Collaboration,Effective oral & written communication,2,L9,Project Management,Engineer
9,Communication & Collaboration,Information & document management,2,L9,Project Management,Engineer
9,Communication & Collaboration,Team collaboration & trust building,2,L9,Project Management,Engineer
9,Communication & Collaboration,Stakeholder engagement & alignment,2,L9,Project Management,Engineer
9,Communication & Collaboration,Client relationship management,2,L9,Project Management,Engineer
9,Communication & Collaboration,Organizational navigation & awareness,2,L9,Project Management,Engineer
9,Communication & Collaboration,Cultural & diversity awareness,2,L9,Project Management,Engineer
9,Communication & Collaboration,Conflict resolution & issue escalation,2,L9,Project Management,Engineer
9,Engineering Management,Engineering discipline deliverables,2,L9,Project Management,Engineer
9,Engineering Management,Inter-discipline dependencies & workflows,2,L9,Project Management,Engineer
9,Engineering Management,"Engineering scope definition, WBS/DOR ownership",2,L9,Project Management,Engineer
9,Engineering Management,Multi-discipline technical leadership,2,L9,Project Management,Engineer
9,Engineering Management,Cross-discipline technical issue resolution,2,L9,Project Management,Engineer
9,Engineering Management,Design basis ownership & QA/QC governance,2,L9,Project Management,Engineer
9,Engineering Management,Engineering tools & S3D suite understanding,2,L9,Project Management,Engineer
9,Engineering Management,Engineering–Procurement–Construction–Commissioning interface,2,L9,Project Management,Engineer
9,Engineering Management,"Constructability, modularization & AWP",2,L9,Project Management,Engineer
9,Project Planning & Control,Project Execution Planning (PEP),2,L9,Project Management,Engineer
9,Project Planning & Control,Schedule development & Primavera interpretation,2,L9,Project Management,Engineer
9,Project Planning & Control,Progress measurement & EPMS/DDS,2,L9,Project Management,Engineer
9,Project Planning & Control,Project status & progress reporting,2,L9,Project Management,Engineer
9,Project Planning & Control,Earned Value & productivity management,2,L9,Project Management,Engineer
9,Project Planning & Control,Integrated change management & baseline control,2,L9,Project Management,Engineer
9,Project Planning & Control,Project close-out & handover,2,L9,Project Management,Engineer
9,Commercial & Cost,Project financial terms & concepts,2,L9,Project Management,Engineer
9,Commercial & Cost,Engineering estimation & budgeting,2,L9,Project Management,Engineer
9,Commercial & Cost,"Forecasting, cost control & variance analysis",2,L9,Project Management,Engineer
9,Commercial & Cost,Resource planning & capacity management,2,L9,Project Management,Engineer
9,Commercial & Cost,Contracting strategies,2,L9,Project Management,Engineer
9,Commercial & Cost,Procurement processes & vendor management,2,L9,Project Management,Engineer
9,Commercial & Cost,Contract language & commercial risk,2,L9,Project Management,Engineer
9,Commercial & Cost,INCOTERMS & logistics,2,L9,Project Management,Engineer
9,Risk & Construction,Project risk management,2,L9,Project Management,Engineer
9,Risk & Construction,Site / construction exposure,2,L9,Project Management,Engineer
9,Risk & Construction,Commissioning & system handover,2,L9,Project Management,Engineer
9,Business & Knowledge,Proposal development exposure,2,L9,Project Management,Engineer
9,Business & Knowledge,Business development & client advisory,2,L9,Project Management,Engineer
9,Business & Knowledge,Knowledge capture & lessons learned,2,L9,Project Management,Engineer
9,Value engineering & cost optimization,,2,L9,Project Management,Engineer
9,Business & KnowledgeDocument & information management systems,,2,L9,Project Management,Engineer
9,"Business & KnowledgeEthics, compliance & professional conduct",,2,L9,Project Management,Engineer
10,Personal Effectiveness & Leadership,"Personal drive, initiative & results orientation",2,L10,Project Management,Engineer
10,Personal Effectiveness & Leadership,"Self-awareness, integrity & professional maturity",2,L10,Project Management,Engineer
10,Personal Effectiveness & Leadership,"Analytical, critical & systems thinking",2,L10,Project Management,Engineer
